0:	5.551816229854E-06
1:	1.108782180381E-05
2:	1.661731403146E-05
3:	2.215153472207E-05
4:	2.769541970338E-05
5:	3.324262070237E-05
6:	3.878460483975E-05
7:	4.431733759702E-05
8:	4.984454062651E-05
9:	5.537409379031E-05
10:	6.090998067521E-05
11:	6.644892710028E-05
12:	7.198360981420E-05
13:	7.751193334116E-05
14:	8.303609502036E-05
15:	8.856191561790E-05
16:	9.409218182554E-05
17:	9.962417971110E-05
18:	1.051531580742E-04
19:	1.106776180677E-04
20:	1.161986874649E-04
21:	1.217207973241E-04
22:	1.272455410799E-04
23:	1.327702339040E-04
24:	1.382950576954E-04
25:	1.438159524696E-04
26:	1.493337185821E-04
27:	1.548527943669E-04
28:	1.603731507203E-04
29:	1.658943365328E-04
30:	1.714141835691E-04
31:	1.769305526977E-04
32:	1.824460196076E-04
33:	1.879617339000E-04
34:	1.934782048920E-04
35:	1.989954616874E-04
36:	2.045110741165E-04
37:	2.100246056216E-04
38:	2.155359688913E-04
39:	2.210488601122E-04
40:	2.265610673930E-04
41:	2.320730563952E-04
42:	2.375854528509E-04
43:	2.430969761917E-04
44:	2.486060257070E-04
45:	2.541157300584E-04
46:	2.596244157758E-04
47:	2.651337417774E-04
48:	2.706432132982E-04
49:	2.761509967968E-04
50:	2.816559863277E-04
51:	2.871629258152E-04
52:	2.926686429419E-04
53:	2.981747093145E-04
54:	3.036813577637E-04
55:	3.091851831414E-04
56:	3.146897070110E-04
57:	3.201925719623E-04
58:	3.256960771978E-04
59:	3.311993496027E-04
60:	3.367013996467E-04
61:	3.422028094064E-04
62:	3.477050631773E-04
63:	3.532059781719E-04
64:	3.587063110899E-04
65:	3.642061201390E-04
66:	3.697066567838E-04
67:	3.752062038984E-04
68:	3.807046159636E-04
69:	3.862028243020E-04
70:	3.917007998098E-04
71:	3.971991245635E-04
72:	4.026963433716E-04
73:	4.081914958078E-04
74:	4.136889765505E-04
75:	4.191855259705E-04
76:	4.246785538271E-04
77:	4.301749577280E-04
78:	4.356708959676E-04
79:	4.411652917042E-04
80:	4.466597456485E-04
81:	4.521515220404E-04
82:	4.576431238092E-04
83:	4.631366173271E-04
84:	4.686291213147E-04
85:	4.741206066683E-04
86:	4.796134307981E-04
87:	4.851035773754E-04
88:	4.905942478217E-04
89:	4.960831138305E-04
90:	5.015732022002E-04
91:	5.070630577393E-04
92:	5.125522729941E-04
93:	5.180402076803E-04
94:	5.235298885964E-04
95:	5.290165427141E-04
96:	5.345037789084E-04
97:	5.399913643487E-04
98:	5.454779602587E-04
99:	5.509657203220E-04
100:	5.564511520788E-04
101:	5.619364674203E-04
102:	5.674221320078E-04
103:	5.729076219723E-04
104:	5.783914821222E-04
105:	5.838752840646E-04
106:	5.893596098758E-04
107:	5.948438192718E-04
108:	6.003265734762E-04
109:	6.058090948500E-04
110:	6.112921983004E-04
111:	6.167744286358E-04
112:	6.222560186870E-04
113:	6.277369684540E-04
114:	6.332189659588E-04
115:	6.386989844032E-04
116:	6.441795849241E-04
117:	6.496595451608E-04
118:	6.551385740750E-04
119:	6.606189417653E-04
120:	6.660980870947E-04
121:	6.715771742165E-04
